overview:
char correction f1:	72.889
char correction p:	82.485
char correction r:	65.213
char detection f1:	77.308
char detection p:	87.688
char detection r:	69.389
sentence correction f1:	70.228
sentence correction p:	79.265
sentence correction r:	63.94
sentence detection f1:	74.735
sentence detection p:	84.352
sentence detection r:	67.086
sentence fpr:	5.499

bad cases:
原始: 所以我不再对任何人报有期望。
正确: 所以我不再对任何人【抱】有期望。
预测: 所以我不再对任何人【抱】有期望。
错误类型: 正确

原始: 栖霞红叶的种类有很多,尤以枫香为主,包括了红枫、鸡爪槭、三角枫、羽毛枫、榉树、黄连木等。
正确: 栖霞红叶的种类有很多,尤以枫香为主,包括了红枫、鸡爪槭、三角枫、羽毛枫、榉树、黄连木等。
预测: 栖霞红叶的种类有很多,尤以枫香为主,包括了红枫、鸡爪槭、三角枫、羽毛枫、榉树、黄连木等。
错误类型: 正确

原始: 在这个社会不管是干哪一行都是有风险的,说起现在最受欢迎的职业,那就是网红了吧,当网红不用费力气,不要求学历,工资还很高,这也是大家都想成为网红的原因。
正确: 在这个社会不管是干哪一行都是有风险的,说起现在最受欢迎的职业,那就是网红了吧,当网红不用费力气,不要求学历,工资还很高,这也是大家都想成为网红的原因。
预测: 在这个社会不管是干哪一行都是有风险的,说起现在最受欢迎的职业,那就是网红了吧,当网红不用费力气,不要求学历,工资还很高,这也是大家都想成为网红的原因。
错误类型: 正确

原始: 一可兄博览群书,他融汇中国儒释道三教的智慧:儒家的敢担当,拿得起;
正确: 一可兄博览群书,他融汇中国儒释道三教的智慧:儒家的敢担当,拿得起;
预测: 一可兄博览群书,他融汇中国儒释道三教的智慧:儒家的敢担当,拿得起;
错误类型: 正确

原始: 她瞬间就哑口无言了,觉得理亏就带着她孩子灰溜溜的走了。
正确: 她瞬间就哑口无言了,觉得理亏就带着她孩子灰溜溜【地】走了。
预测: 她瞬间就哑口无言了,觉得理亏就带着她孩子灰溜溜【地】走了。
错误类型: 正确

原始: 下午发现网上有搜集奋斗所有经典台词的帖子,笑得我与整个庄严肃穆的职场很不相称,我甚至把它当作了武林外传之后的一部搞笑巨作来重新审视,可是晚上,我猝不及防的哭了。
正确: 下午发现网上有搜集奋斗所有经典台词的帖子,笑得我与整个庄严肃穆的职场很不相称,我甚至把它当作了武林外传之后的一部搞笑巨作来重新审视,可是晚上,我猝不及防【地】哭了。
预测: 下午发现网上有搜集奋斗所有经典台词的帖子,笑得我与整个庄严肃穆的职场很不相称,我甚至把它当作了武林外传之后的一部搞笑巨作来重新审视,可是晚上,我猝不及防【地】哭了。
错误类型: 正确

原始: 申请技能移民的申请人必须达到雅思考试一定的请求(复合罢黜条件的申请人除外)。
正确: 申请技能移民的申请人必须达到雅思考试一定的请求(【符】合罢黜条件的申请人除外)。
预测: 申请技能移民的申请人必须达到雅思考试一定的请求(复合罢黜条件的申请人除外)。
错误类型: 漏纠

原始: 在生活和工作中我尽力让自己用欣赏的眼光去看待每一个孩子,当然有时也会为孩子的一点小小的错误而生气,也会有一些处理不当的事情,但事情过后我会去认真的思考,这样做对不对?
正确: 在生活和工作中我尽力让自己用欣赏的眼光去看待每一个孩子,当然有时也会为孩子的一点小小的错误而生气,也会有一些处理不当的事情,但事情过后我会去认真【地】思考,这样做对不对?
预测: 在生活和工作中我尽力让自己用欣赏的眼光去看待每一个孩子,当然有时也会为孩子的一点小小的错误而生气,也会有一些处理不当的事情,但事情过后我会去认真的思考,这样做对不对?
错误类型: 漏纠

原始: 还有更奇葩的,我另一小姐妺她婆婆从农村过来她们家,本来她还是很体晾婆婆以前吃了很多苦,希望好好孝顺一下她。
正确: 还有更奇葩的,我另一小姐妺她婆婆从农村过来她们家,本来她还是很体【谅】婆婆以前吃了很多苦,希望好好孝顺一下她。
预测: 还有更奇葩的,我另一小姐【妹】她婆婆从农村过来她们家,本来她还是很体【谅】婆婆以前吃了很多苦,希望好好孝顺一下她。
错误类型: 综合

原始: 今年可以说是只能手机的元年了,各大手机的发布的新品的数量和频率也是非常的多,那新一度的国产手机性能排名又将是怎样的呢?
正确: 今年可以说是【智】能手机的元年了,各大手机的发布的新品的数量和频率也是非常的多,那新一度的国产手机性能排名又将是怎样的呢?
预测: 今年可以说是【智】能手机的元年了,各大手机的发布的新品的数量和频率也是非常的多,那新一度的国产手机性能排名又将是怎样的呢?
错误类型: 正确

原始: 呵呵,每次把她一放进浴盆里,她就开始乐得咧着嘴,"阿伊啦啦"的唱个不停了,大概是自编自谱的yoyo洗澡歌吧。
正确: 呵呵,每次把她一放进浴盆里,她就开始乐得咧着嘴,"阿【咿】啦啦"的唱个不停了,大概是自编自谱的yoyo洗澡歌吧。
预测: 呵呵,每次把她一放进浴盆里,她就开始乐得咧着嘴,"阿伊啦啦"【地】唱个不停了,大概是自编自谱的yoyo洗澡歌吧。
错误类型: 综合

原始: 恋恋不舍的准备回教室了。
正确: 恋恋不舍【地】准备回教室了。
预测: 恋恋不舍【地】准备回教室了。
错误类型: 正确

原始: 以这个目前正执行的"能量份数"作为参照,逐步适度的调整中午或早上,亦或者晚上的能量份数,观察机体的变化,和适应情况,摸索出自己的最佳能量份数。
正确: 以这个目前正执行的"能量份数"作为参照,逐步适度【地】调整中午或早上,亦或者晚上的能量份数,观察机体的变化,和适应情况,摸索出自己的最佳能量份数。
预测: 以这个目前正执行的"能量【分】数"作为参照,逐步适度的调整中午或早上,亦或者晚上的能量【分】数,观察机体的变化,和适应情况,摸索出自己的最佳能量【分】数。
错误类型: 综合

原始: 水泥地面均可。
正确: 水泥地面均可。
预测: 水泥地面均可。
错误类型: 正确

原始: 最近的一些消息也进一步更加明确的勾勒出了房价下跌的大势:(1)人民币对美元远期汇率开始出现贬值趋势,即期汇率盘中交易也出现多次跌停;
正确: 最近的一些消息也进一步更加明确【地】勾勒出了房价下跌的大势:(1)人民币对美元远期汇率开始出现贬值趋势,即期汇率盘中交易也出现多次跌停;
预测: 最近的一些消息也进一步更加明确【地】勾勒出了房价下跌的大势:(1)人民币对美元远期汇率开始出现贬值趋势,即期汇率盘中交易也出现多次跌停;
错误类型: 正确

原始: 《超人:钢铁之躯》等多部重量级好莱坞大片初定内地档期,为国产片留下6月1日-19日及7月1日-11日两个空挡,提前两个月公布的引进片档期,给前期宣发留下预热的时间。
正确: 《超人:钢铁之躯》等多部重量级好莱坞大片初定内地档期,为国产片留下6月1日-19日及7月1日-11日两个空【档】,提前两个月公布的引进片档期,给前期宣发留下预热的时间。
预测: 《超人:钢铁之躯》等多部重量级好莱坞大片初定内地档期,为国产片留下6月1日-19日及7月1日-11日两个空【当】,提前两个月公布的引进片档期,给前期宣发留下预热的时间。
错误类型: 综合

原始: 货币方面,镑日如期走了反弹,但好景不长,随后出现了暴跌。
正确: 货币方面,镑日如期走了反弹,但好景不长,随后出现了暴跌。
预测: 货币方面,镑日如期走了反弹,但好景不长,随后出现了暴跌。
错误类型: 正确

原始: 本公司将继续和国内高等院校、科研单位合作,以专业的技术为后盾,以实际行动为社会环保事业做出贡献。
正确: 本公司将继续和国内高等院校、科研单位合作,以专业的技术为后盾,以实际行动为社会环保事业【作】出贡献。
预测: 本公司将继续和国内高等院校、科研单位合作,以专业的技术为后盾,以实际行动为社会环保事业做出贡献。
错误类型: 漏纠

原始: 我从雕塑专业毕业后,南下深圳,一直在一家雕塑厂做,西方的人体写生还是东方传统的民族分化,我都接触了很多,玻璃钢、砂岩、pvc、还是亚克力,对于这些坚硬的材质,还有这种加法的雕塑手法,都让我觉得雕塑都应该是这样才可以做到近乎完美。
正确: 我从雕塑专业毕业后,南下深圳,一直在一家雕塑厂做,西方的人体写生还是东方传统的民族【文】化,我都接触了很多,玻璃钢、砂岩、pvc、还是亚克力,对于这些坚硬的材质,还有这种加法的雕塑手法,都让我觉得雕塑都应该是这样才可以做到近乎完美。
预测: 我从雕塑专业毕业后,南下深圳,一直在一家雕塑厂做,西方的人体写生还是东方传统的民族分化,我都接触了很多,玻璃钢、砂岩、pvc、还是亚克力,对于这些坚硬的材质,还有这种加法的雕塑手法,都让我觉得雕塑都应该是这样才可以做到近乎完美。
错误类型: 漏纠

原始: 为了能让有意发展设施农业的组织单位,能够更好的选择温室项目服务商,对温室大棚行业做了系统调研,将温室大棚项目质量控制主要分为材料控制、技术控制、施工控制、售后控制四大方面。
正确: 为了能让有意发展设施农业的组织单位,能够更好【地】选择温室项目服务商,对温室大棚行业做了系统调研,将温室大棚项目质量控制主要分为材料控制、技术控制、施工控制、售后控制四大方面。
预测: 为了能让有意发展设施农业的组织单位,能够更好【地】选择温室项目服务商,对温室大棚行业做了系统调研,将温室大棚项目质量控制主要分为材料控制、技术控制、施工控制、售后控制四大方面。
错误类型: 正确

原始: 还有袁文康全裸在浴室里洗澡的那段冲柳悦说的上海话,估计在网络上会传开,"侬不是喜欢吃鱼翅吗?
正确: 还有袁文康全裸在浴室里洗澡的那段冲柳悦说的上海话,估计在网络上会传开,"侬不是喜欢吃鱼翅吗?
预测: 还有袁文康全裸在浴室里洗澡的那段冲柳悦说的上海话,估计在网络上会传开,"侬不是喜欢吃鱼翅吗?
错误类型: 正确

原始: 就是说,这种被子不是随便给人赏赐的,只有清朝的受到皇帝宠信的大臣才有资格,这代表了一种为人臣子极高的荣誉。
正确: 就是说,这种被子不是随便给人赏赐的,只有清朝的受到皇帝宠信的大臣才有资格,这代表了一种为人臣子极高的荣誉。
预测: 就是说,这种被子不是随便给人赏赐的,只有清朝的受到皇帝宠信的大臣才有资格,这代表了一种为人臣子极高的荣誉。
错误类型: 正确

原始: 针对部分互联网企业不认真履行网络安全管理义务,助推网上违法犯罪高发频发的情况,全国各级公安机关落实属地监管责任,加强监督检查和行政执法,按照《公安机关互联网安全监督检查规定》(公安部第151号令)的有关要求,针对违法有害信息突出的网站及高风险应用服务,组织开展安全监督检查14.4万家次,发现整改安全风险、管理问题等134.6万处,依法查处互联网企业3.4万余家次。
正确: 针对部分互联网企业不认真履行网络安全管理义务,助推网上违法犯罪高发频发的情况,全国各级公安机关落实属地监管责任,加强监督检查和行政执法,按照《公安机关互联网安全监督检查规定》(公安部第151号令)的有关要求,针对违法有害信息突出的网站及高风险应用服务,组织开展安全监督检查14.4万家次,发现整改安全风险、管理问题等134.6万处,依法查处互联网企业3.4万余家次。
预测: 针对部分互联网企业不认真履行网络安全管理义务,助推网上违法犯罪高发频发的情况,全国各级公安机关落实属地监管责任,加强监督检查和行政执法,按照《公安机关互联网安全监督检查规定》(公安部第151号令)的有关要求,针对违法有害信息突出的网站及高风险应用服务,组织开展安全监督检查14.4万家次,发现整改安全风险、管理问题等134.6万处,依法查处互联网企业3.4万余家次。
错误类型: 正确

